text,label_binary,sub_NFR,source
'The system shall refresh the display every 60 seconds.',NFR,PE,NICE
'The application shall match the color of the schema set forth by Department of Homeland Security',NFR,L,NICE
'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',NFR,LF,NICE
'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',NFR,A,NICE
'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',NFR,LF,NICE
'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',NFR,SE,NICE
'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',NFR,US,NICE
'The product shall respond fast to keep up-to-date data in the display.',NFR,PE,NICE
'The system shall have a MDI form that allows for the viewing of the graph and the data table.',FR,F,NICE
'The system shall display Events in a vertical table by time.',FR,F,NICE
'The system shall display the Events in a graph by time.',FR,F,NICE
'The system shall display Events or Activities.',FR,F,NICE
'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',NFR,LF,NICE
'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',NFR,,NICE
'The table side of the display shall be split into 2 regions: sequential and temporal.',NFR,LF,NICE
'The top 1/4 of the table will hold events that are to occur sequentially.',NFR,LF,NICE
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',NFR,LF,NICE
'The system shall color code events according to their variance from current time.',NFR,LF,NICE
'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',NFR,LF,NICE
'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',NFR,MN,NICE
'The system shall allow modification of the display.',FR,F,NICE
'The system shall offer a display of all the Events in the exercise.',FR,F,NICE
'The system shall filter data by: Venues and Key Events.',FR,F,NICE
'The system shall allow a user to define the time segments',FR,F,NICE
'The system shall display the local and exercise time in separate clocks',FR,F,NICE
'The system shall offer the ability to pause and resume the refresh of data.',FR,F,NICE
'The system shall provide charts for the Activity or Event actual versus assumed time.',FR,F,NICE
'The system shall provide a history report of changes made to the Activity or Event data',FR,F,NICE
'The look and feel of the system shall conform to the user interface standards of the smart device.',NFR,LF,NICE
'The user interface shall have standard menus buttons for navigation',NFR,LF,NICE
'The system shall have a professional appearance',NFR,LF,NICE
'The product shall have a consistent color scheme and fonts.',NFR,LF,NICE
'The system shall be used by realtors with no training.',NFR,US,NICE
'The system shall be intuitive and self explanatory.',NFR,US,NICE
'The product shall be easy for a realtor to learn.',NFR,US,NICE
'The product shall use symbols and words that are naturally understandable by the realtor community.',NFR,LF,NICE
'The product shall produce search results in an acceptable time',NFR,PE,NICE
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',NFR,PE,NICE
'The product shall generate a CMA report in an acceptable time.',NFR,PE,NICE
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',NFR,PE,NICE
'The product shall synchronize contacts and appointments in an acceptable time.',NFR,PE,NICE
'The product shall synchronize with the office system every hour.',NFR,PE,NICE
'The product shall be available for use 24 hours per day 365 days per year',NFR,A,NICE
'Out of 1000 accesses to the system the system is available 999 times.',NFR,A,NICE
'The product shall operate in offline mode whenever internet connection is unavailable.',NFR,FT,NICE
'The product shall allow the user to view previously downloaded search results CMA reports and appointments.',FR,F,NICE
'The product shall retain user preferences in the event of a failure.',FR,F,NICE
'100% of saved user preferences shall be restored when system comes back online.',NFR,FT,NICE
'The product shall be able to support multiple remote users',FR,F,NICE
