text,label,source
All authorized users once authenticated must be able to logon to the Disputes System,SE,dcai24
'System shall let Izogn Manager access sales and usage statistics in under 2 minutes.',PE,NICE
The system should need to be entirely self-supporting since the users would be using it only to register courses.,US,promise_exp
The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC,promise_exp
"Most important, the store of access permissions to administrative features and access permissions must be secure.",SE,dcai24
The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,A,promise_exp
Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,A,promise_exp
The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PE,promise_exp
'The product shall be easy for a realtor to learn.',US,NICE
'Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.',PE,NICE
It must be able to change and update information on the server.,O,promise_exp
'System shall let existing customers log into the website with their email address and password in under 5 seconds.',PE,NICE
"Changes to calculated results such as Sufficiency Rating or NBI Appraisal Ratings will be prohibited except for secured, privileged users.",SE,dcai24
The application shall match the color of the schema set forth by Department of Homeland Security,LF,promise_exp
The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MN,dcai24
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',A,NICE
"All organisations hosting components of the EHRi or connecting to the EHRi must retain75 the audit log for the entire retention period of the records audited, to enable investigations to be carried out when necessary and to provide evidence where necessary.",SE,dcai24
The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.',PE,NICE
The system shall refresh the display every 60 seconds.,PE,promise_exp
Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,MN,dcai24
The website will comply with W3C standards.,L,promise_exp
The System shall allow for a minimum of 6 users to work at the same time.,PE,dcai24
New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,MN,promise_exp
 The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,promise_exp
The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,PE,promise_exp
system shall be able to handle all of the user requests/usage during business hours.,SC,promise_exp
Organisations hosting components of the EHRi must ensure that all EHRi connections to remote servers and applications are authenticated.,SE,dcai24
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,US,dcai24
The product shall produce search results in an acceptable time,PE,promise_exp
The product shall be available 99% of the time. Rationale,A,dcai24
'Movies shall be encoded for 56k and 256k streams.',O,NICE
The interface must summarize the data in a fashion that s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,LF,dcai24
A valid user is one which has not been disabled or deleted and exists on the system.,SE,dcai24
The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,MN,promise_exp
'The System shall not require additional third party licenses resulting in royalty fees.',O,NICE
All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,MN,promise_exp
'All movies shall be streamed on demand at any time of the day.',A,NICE
'The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.',LF,NICE
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US,promise_exp
When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,PE,dcai24
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,LF,dcai24
For the system to successfully operate the registration system should be integrated with other IT services and the portal.,O,promise_exp
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE,promise_exp
'The maintenance of the product will fall within the established corporate maintenance windows.',MN,NICE
The product shall be used in office environments.,O,promise_exp
'A secondary database will be used to store historical statistics and data.',MN,NICE
'The System shall utilize currently owned computer equipment.',O,NICE
'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.',A,NICE
-managing expense budgets for IT security services and capital expenditures;,SE,dcai24
A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,US,promise_exp
Only one version of the CA public key is required in the card. This requires that the PSAMs with which the CEP card exchanges cryptograms must be capable of generating and validating cryptograms using the relevant keys from all current cards,SE,dcai24
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',PE,NICE
The data transaction between client and server must be encrypted using SSL technology.,SE,promise_exp
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A,promise_exp
System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PE,dcai24
The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.,FT,promise_exp
'The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.',A,NICE
'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.',MN,NICE
'The product will be available for licensing as a one-server two-five servers or five-or-more servers license.',O,NICE
'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.',L,NICE
'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.',LF,NICE
The user should be able to personalize bookmarks to UGC.,US,dcai24
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US,promise_exp
In case of managed services QoS rules applied by CNG shall be configurable by a remote management system.,PE,dcai24
The product shall allow the user to select a chosen language from one of the target market countries.,US,promise_exp
'Users should only have to navigate through a maximum of 4 pages to create an account with the website.',LF,NICE
Multiple public identities on the same terminal shall be supported.,O,dcai24
User passwords should be between 8 and 12 characters including letters and numbers but excluding spaces.,SE,dcai24
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,MN,promise_exp
'The product shall be robust.The product shall have fault avoidance based on standards adoption.',FT,NICE
'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls',O,NICE
'The website should appeal to all Africans not only Nigerians.',LF,NICE
'The product shall have an intuitive user interface.',US,NICE
The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,SC,promise_exp
'The website shall be available for use 24 hours per day 365 days per year.',A,NICE
The response shall be fast enough to avoid interrupting the user s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE,dcai24
All actions that modify an existing dispute case must be recorded in the case history.,L,promise_exp
"""The Card Issuer is responsible for Enforcing standards and policies for Application Providers governing all aspects of Applications to be provided to the Card Issuer or operated on the Card Issuer's cards,""",SE,dcai24
The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,US,promise_exp
The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,A,promise_exp
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC,promise_exp
The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN,dcai24
"An EHR-S should support Chains of Trust in respect of authentication, authorization, and privilege management, either intrinsically or by interfacing with relevant external services.",SE,dcai24
The product shall be intuitive and self-explanatory.,US,dcai24
'The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.',L,NICE
'The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.',O,NICE
The system shall achieve 95% up time.,A,promise_exp
'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',O,NICE
The user interface of the system should be very user friendly. ,US,promise_exp
The system shall be capable of restoring itself to its previous state in the event of failure (e.g. a system crash or power loss).,FT,promise_exp
The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN,promise_exp
The website shall continue to operate if the streaming server goes down.,FT,promise_exp
'The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.',MN,NICE
The system must be intuitive and simple in the way it displays all relevant data and relationships.,US,promise_exp
'The product shall be available for use 24 hours per day 365 days per year',A,NICE
98% of the user workstations shall meet the minimum software requirements prior to implementation,O,dcai24
The authentication method is configurable by the System Administrator.,SE,dcai24
The website shall achieve 99.5% up time.,A,promise_exp
The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,LF,promise_exp
Manitobaï¿½s health information legislation requires a trustee who uses electronic means to request disclosure and to respond to requests for disclosure to implement procedures to prevent the interception of information by unauthorized persons.,SE,dcai24
'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',SE,NICE
A simple verification of name and address from reliable identification documents (driver's license for example) suffices to meet the requirement.,SE,dcai24
'The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.',O,NICE
"Access rights may be associated with the metadata relating to an individual object, i.e. the object may be embargoed, with limited internal staff access being available to metadata.",SE,dcai24
System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE,promise_exp
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',PE,NICE
'The website shall prevent its data from being corrupted when incorrect data is entered in.',FT,NICE
'The server will support a maximum of 1 000 simultaneous users.',SC,NICE
2)minimize the risk of systems failures;,SE,dcai24
Staff members shall be able to complete a set of tasks in a timely manner.,PE,promise_exp
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,promise_exp
'Movies shall be encoded and streamed via Windows Media Player 9.0.',O,NICE
All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,PE,promise_exp
Users shall be able to reach the add drop and trade player pages with one click from the team owner s page.,US,dcai24
The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,O,dcai24
On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,PE,promise_exp
'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.',PE,NICE
The system shall have high availability every day of the year.The system must be available for use between 12,A,dcai24
Currency exchange rate fluctuations may increase the card issuers liability. The card issuer must be able to adjust maximum balances to bring them in line with their policies. The card issuer may update the maximum balances as part of a load a partial unload and a currency exchange transaction. On a currency exchange transaction only the ƒ??toƒ?_x009d_ currency maximum balance may be updated,L,dcai24
The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,LF,promise_exp
"Such patients or persons have a right to know what uses and disclosures, in particular, are mandated by law, such as for mandatory reporting of infectious diseases or suspected child abuse or for law enforcement.",SE,dcai24
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC,promise_exp
