text,label
The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
The system shall interface with CampusConnect's central server',O
Only authorized users shall have access to students' personal information.',SE
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.',SE
The system shall protect private information in accordance with the organization's information policy.',L
The system shall use the organization's standard virus protection software to help monitor threats to itself.',SE
Students added to a cohort shall be eligible for the cohort's Program of Study.',F
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.',F
The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).',F
The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.',F
The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,A
The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',O
The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.',F
All additions of new users and modifications to user's access shall be recorded on the User Report.',F
The product's Look and Feel shall be able to incorporate aspects of the customer's organization such as logo branding and identity',LF
The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.',PE
The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product's software code.',MN
Every registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.',LF
The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.',MN
The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.',MN
The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.',SE
The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.',SE
The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',US
"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.'",PE
"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes.'",PE
The product shall retain the customer's buying preferences and information.',US
When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)',PE
While streaming a movie buffering should only occur if there is latency in the user's connection.',PE
The system shall reveal private information only in compliance with the organization's information policy.',L
System shall allow users to update their billing and contact information via the â€œMy Accountâ€ section of the website.,F
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player's ships which had not been previously marked as sunk.',F
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.',PE
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.',US
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',PE
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.',A
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',A
The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.',A
The system must be available for use between 7:00AM and 11:59PM all days of the year.',A
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',PO
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.',LF
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.',LF
: The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN
The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',LF
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report)',O
The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.',A
The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.',SE
Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page',SE
"Users shall be able to reach the 'add' , drop', and 'trade player' pages with one click from the team owner's page.'",LF
The RFS system should be able to easily interface with the BDW environment in order to load the data. Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.',O
User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role.',SE
The system shall refresh the display every 60 seconds.,PE
The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,A
The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
The product shall respond fast to keep up-to-date data in the display.,PE
The system shall have a MDI form that allows for the viewing of the graph and the data table.,F
The system shall display Events in a vertical table by time.,F
The system shall display the Events in a graph by time.,F
The system shall display Events or Activities.,F
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F
The system shall allow modification of the display.,F
The system shall offer a display of all the Events in the exercise.,F
The system shall filter data by: Venues and Key Events.,F
The system shall allow a user to define the time segments,F
The system shall display the local and exercise time in separate clocks,F
The system shall offer the ability to pause and resume the refresh of data.,F
The system shall provide charts for the Activity or Event actual versus assumed time.,F
The system shall provide a history report of changes made to the Activity or Event data,F
The look and feel of the system shall conform to the user interface standards of the smart device.,LF
The user interface shall have standard menus buttons for navigation,LF
The system shall have a professional appearance,LF
The product shall have a consistent color scheme and fonts.,LF
The system shall be used by realtors with no training.,US
The system shall be intuitive and self explanatory.,US
The product shall be easy for a realtor to learn.,US
The product shall produce search results in an acceptable time,PE
The search results shall be returned no later 30 seconds after the user has entered the search criteria,PE
The product shall generate a CMA report in an acceptable time.,PE
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
The product shall synchronize contacts and appointments in an acceptable time.,PE
The product shall synchronize with the office system every hour.,PE
The product shall be available for use 24 hours per day 365 days per year,A
Out of 1000 accesses to the system the system is available 999 times.,A
