text,label,source
The product will allow priviledged users to view meeting schedules in multiple reporting views.,FR,promise_exp
The system shall confirm all transactions with the customer's web browser.,US,promise_exp
System shall allow users to update their billing and contact information via the My Account section of the website.,FR,dcai24
'The website should appeal to all Africans not only Nigerians.',LF,NICE
The system shall allow user to select available promotion.,FR,promise_exp
The System shall allow for a minimum of  6 users to work at the same time.,PE,promise_exp
Delete restaurant information Given the administrator is logged in And information about a restaurant exists When the administrator deletes the information Then the information about the restaurant should be deleted,FR,dcai24
'Aside from server failure the software product shall achieve 99.99% up time.',A,NICE
'The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.',L,NICE
The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,FT,promise_exp
The system shall allow the mediator to send and receive messages from users.,FR,promise_exp
The system must be quickly accessible by both managers and chefs.,US,promise_exp
The search results shall be returned no later 30 seconds after the user has entered the search criteria,PE,dcai24
The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE,promise_exp
90% of untrained realtors shall be able to install the product on their device without printed instructions,US,promise_exp
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.,LF,dcai24
'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',L,NICE
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',PE,NICE
The CAS shall have a quality manager security group.,SE,dcai24
The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,O,dcai24
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',PO,NICE
The CNG shall be associated with a unique Hardware ID to be used for identification NGN side.,O,dcai24
Icons will clearly illustrate the feature it represents.,FR,promise_exp
"General Public Access: Allows restriction to access by the general public, based on licensing terms, time period (embargo periods), location (IP range restrictions), restricted workstation access as well as other possible legal restrictions.",SE,dcai24
The system should be simple to use,LF,promise_exp
Out of 1000 accesses to the system the system is available 999 times.,A,promise_exp
'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',O,NICE
"user touches log out button, and logs out of the system. The user will not use
 the system until he/she logs in again.",FR,dcai24
"Based on the selection the product categories will be listed: Outerwear,Soft Shell,Fleece,Knits,Wovens,Active Wear, Safety,Accessories,Team Wear, e.c.o. Collection",FR,dcai24
On reception at the CNG of a message to access configuration information for update and detection of authorization failure the CNG shall reject the request and manage the failure in accordance with the CPN authorization management handling policy.,SE,dcai24
The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O,promise_exp
'The system shall search for available recycled parts for the supplied vehicle parts and suppliers.',FR,NICE
The system shall allow user to choose their preferable topping.,FR,promise_exp
'The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.',MN,NICE
'The website will comply with W3C standards.',L,NICE
'The application shall have a downtime of at most 10 minutes per year.',A,NICE
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,FR,promise_exp
'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.',PE,NICE
The system shall allow the user to scroll the campus map from the campus map tab.,US,promise_exp
'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.',LF,NICE
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,promise_exp
Website shall allow the Izogn administrator to approve a review posted by a customer.,FR,promise_exp
Each account must have a separate identifying account number.,FR,promise_exp
'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',US,NICE
The system shall not leave any cookies on the customerâ€™s computer containing any of the userâ€™s confidential information.,SE,dcai24
The system shall allow user to confirm the purchase.,FR,promise_exp
LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present e.g.: wireless LAN Wi-Fi Alliance certified Powerlines Plastic Optical Fiber USB device and/or host one or more FXS for analog telephony DECT Cat-iq.,FR,dcai24
If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,FR,promise_exp
Card issuers must inform their cardholders as to which currencies they support in electronic purses,L,dcai24
'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',US,NICE
The RFS system should be able to easily interface with the BDW environment in order to load the data. \95,O,dcai24
Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,FR,dcai24
The user can select a topic from the search result list.,FR,dcai24
"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account.",FR,dcai24
System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,PE,promise_exp
Consult with the Administrator about the payment details of the customers for the updating of the database.,FR,promise_exp
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,promise_exp
'All customer information will be stored on a secure database accessible only to authorized personnel.',SE,NICE
The system shall allow user to register for newsletters and surveys in the profile.,FR,promise_exp
98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,O,promise_exp
The product shall comply with insurance regulations regarding claims processing.,L,promise_exp
The application should be able to support 100 concurrent users without any performance degradation.,PE,promise_exp
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,A,promise_exp
All requests and responses for the notify of â€˜Completedâ€™ status action must be logged in the audit log.,SE,dcai24
The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.,PE,promise_exp
'The system shall generate an audit report based on the available recycled parts and the collision estimate.',FR,NICE
It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,FR,dcai24
"Even if healthcare organisations seek to manage complaints locally and internally by sophisticated mechanisms for their resolution, they should still inform complainants if they have a right to make a privacy complaint to the provincial or territorial Information and Privacy Commissioner (or equivalent).64",SE,dcai24
This unit will receive as input a generic answer from the Generic Answer Construction unit,FR,dcai24
Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,US,dcai24
The system shall display all the available components of the product to configure.,FR,promise_exp
The system shall be able to display a printable summary of the system log.,FR,promise_exp
NPAC SMS shall be able to identify the originator of any information received across communication channels.,SE,dcai24
The product will be as secure as the web browser that will run the product.,SE,dcai24
The product shall comply with the estimatics laws relating to recycled parts usage.,L,promise_exp
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,LF,promise_exp
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report),US,promise_exp
For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,FR,dcai24
2) The system shall conform to function IN.1.1 (Entity Authentication).,SE,dcai24
Website shall allow customers to view reviews of selected movies by other customers.,FR,promise_exp
Full news report is shown after choosing the corresponding news title.,FR,dcai24
The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,US,dcai24
'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',A,NICE
The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.,PE,promise_exp
NPAC SMS shall provide postâ€‘collection audit analysis tools that can produce exception reports on communication failures relating to system intrusions.,SE,dcai24
The system shall show the meetings to the user in ascending time order by default.,FR,promise_exp
All organisations hosting components of the EHRi must monitor capacity demands and project future capacity requirements to ensure adequate processing power and storage will be made available to host those EHRi components.,SE,dcai24
'The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.',O,NICE
The application shall match the color of the schema set forth by Department of Homeland Security,LF,promise_exp
'The product shall use symbols and words that are naturally understandable by users familiar with websites',LF,NICE
'For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.',FR,NICE
The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE,promise_exp
NPAC SMS shall provide an option for automatic reactivation of disabled userids.,SE,dcai24
It should give a drill-down view of all data in the medical record after logging in.,LF,promise_exp
'The product must comply with Sarbanes-Oxley.',L,NICE
'The Commissioner will be the only authorized user per league to adjust league settings.',L,NICE
'The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.',SC,NICE
